Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,6684.100098,6834.299805,6669.200195,6826.399902,6826.399902,1587300
2020-01-08,6826.399902,6962.799805,6749.600098,6962.200195,6962.200195,2496600
2020-01-15,6965.500000,7092.500000,6960.399902,7066.299805,7066.299805,2526200
2020-01-22,7066.299805,7144.899902,6964.700195,7023.500000,7023.500000,2361300
2020-01-29,6994.500000,7046.799805,6897.000000,6948.700195,6948.700195,3248300
2020-02-05,6988.600098,7070.200195,6962.899902,7055.299805,7055.299805,3190000
2020-02-12,7055.299805,7138.399902,7055.100098,7113.700195,7113.700195,2513400
2020-02-19,7113.799805,7197.200195,6800.000000,6866.600098,6866.600098,4609700
2020-02-26,6866.600098,6866.600098,6245.200195,6435.700195,6435.700195,5782400
2020-03-04,6435.700195,6447.100098,5538.899902,5939.600098,5939.600098,6220700
2020-03-11,5939.600098,5972.500000,4873.700195,5293.399902,5293.399902,9123200
2020-03-18,5293.399902,5293.399902,4402.500000,4735.700195,4735.700195,8417500
2020-03-25,4735.700195,5366.399902,4735.700195,5076.799805,5076.799805,6585400
2020-04-01,5076.799805,5423.100098,5022.399902,5252.299805,5252.299805,5182800
2020-04-08,5252.299805,5490.700195,5121.899902,5488.100098,5488.100098,3232000
2020-04-15,5488.100098,5563.600098,5214.500000,5221.299805,5221.299805,5072500
2020-04-22,5221.299805,5373.799805,5100.700195,5313.100098,5313.100098,4191100
2020-04-29,5313.100098,5549.100098,5169.600098,5407.100098,5407.100098,4663000
2020-05-06,5407.100098,5489.500000,5345.000000,5403.000000,5403.000000,3988000
2020-05-13,5403.000000,5606.799805,5301.899902,5559.500000,5559.500000,4195600
2020-05-20,5559.500000,5780.000000,5494.799805,5780.000000,5780.000000,4066200
2020-05-27,5780.000000,5922.000000,5705.399902,5835.100098,5835.100098,6819600
2020-06-03,5835.100098,6198.600098,5835.100098,6144.899902,6144.899902,4715200
2020-06-10,6144.899902,6182.299805,5719.799805,5942.299805,5942.299805,5643500
2020-06-17,5952.100098,6006.299805,5881.100098,5954.399902,5954.399902,5721500
2020-06-24,5954.399902,5992.799805,5773.200195,5897.899902,5897.899902,4320100
2020-07-01,5897.899902,6101.399902,5892.799805,6012.899902,6012.899902,3548600
2020-07-08,6012.899902,6018.399902,5899.500000,5941.100098,5941.100098,3344000
2020-07-15,5941.100098,6160.600098,5941.100098,6156.299805,6156.299805,3093700
2020-07-22,6156.299805,6156.299805,6010.700195,6020.500000,6020.500000,2471100
2020-07-29,6019.200195,6067.000000,5860.700195,6037.600098,6037.600098,2915900
2020-08-05,6031.700195,6186.100098,5964.899902,6138.700195,6138.700195,3353100
2020-08-12,6138.700195,6157.299805,6059.299805,6123.399902,6123.399902,3908000
2020-08-19,6123.399902,6199.200195,6094.700195,6161.399902,6161.399902,4257100
2020-08-26,6160.399902,6160.399902,5908.899902,5953.399902,5953.399902,4193100
2020-09-02,5953.399902,6130.799805,5869.899902,6007.799805,6007.799805,3505600
2020-09-09,6007.799805,6007.799805,5836.200195,5894.799805,5894.799805,3606900
2020-09-16,5894.799805,5958.500000,5763.200195,5784.100098,5784.100098,4755200
2020-09-23,5784.100098,5995.399902,5784.100098,5952.100098,5952.100098,3423800
2020-09-30,5952.000000,5963.899902,5779.600098,5962.100098,5962.100098,3375300
2020-10-07,5953.100098,6214.700195,5944.700195,6195.700195,6195.700195,2987200
2020-10-14,6195.700195,6248.299805,6165.000000,6184.600098,6184.600098,3014900
2020-10-21,6187.299805,6206.500000,6033.799805,6051.000000,6051.000000,3221200
2020-10-28,6042.799805,6090.799805,5904.100098,6066.399902,6066.399902,3427500
2020-11-04,6066.399902,6438.200195,5986.000000,6340.500000,6340.500000,3877400
2020-11-11,6340.500000,6527.700195,6340.500000,6498.200195,6498.200195,3571800
2020-11-18,6498.200195,6661.399902,6494.700195,6644.100098,6644.100098,3528100
2020-11-25,6644.100098,6713.299805,6511.399902,6588.500000,6588.500000,3903400
